2017-10,Klausur im Falltraining,Anfänger,"§§ 303, 22, 23, 223, 224, 20, 230, 323a, 32, 33, 315c, 316 StGB ",Actio libera in causa bei Erfolgsdelikten; Actio libera in causa bei Straßenverkehrsdelikten; Extensiver Notwehrexzess,http://strafrecht-online.org/falltraining/klausuren/bierdurst/sachverhalt/,http://strafrecht-online.org/falltraining/klausuren/bierdurst/loesung/
,Klausur im Falltraining,Anfänger,"§§ 212, 211, 16, 212, 25 II, 212, 26, 28 II, 222, 240 StGB","Mord: Anforderungen an das Merkmal Heimtücke, Auswirkungen eines täterbezogenes Mordmerkmal des Anstifters; Auswirkungen des error in persona des Haupttäters für den Anstifter",http://strafrecht-online.org/falltraining/klausuren/das-blutbad/sachverhalt/,http://strafrecht-online.org/falltraining/klausuren/das-blutbad/loesung/
,Klausur im Falltraining,Anfänger,"§§ 212, 25 I Alt. 2, 22, 23, 12, 26, 222, 223, 224 StGB","Mittelbare Täterschaft: Opfer als Tatmittler gegen sich selbst, Gutgläubiger Dritter als zwischengeschaltetes Werkzeug, Unmittelbares Ansetzen des Hintermanns; Voraussetzungen an die Lebensgefahr in § 224 I Nr. 5; Erlaubnistatumstandsirrtum",http://strafrecht-online.org/falltraining/klausuren/die-kaesekreation/sachverhalt/,http://strafrecht-online.org/falltraining/klausuren/die-kaesekreation/loesung/
2017-05,Klausur im Falltraining,Anfänger,"§§ 223, 224, 13, 303, 22, 23, 12, 32, 24 StGB; § 904 BGB",Gremienentscheidung; Garantenpflicht zur Verhinderung der Umsetzung von rechtswidrigen Gremienentscheidungen; Absichtsprovokation; Subj. Rechtfertigungselement; Lebensgefährdende Behandlung i.S.d. § 224 I Nr. 5,http://strafrecht-online.org/falltraining/klausuren/ein-tag-in-der-mensa/sachverhalt/,http://strafrecht-online.org/falltraining/klausuren/ein-tag-in-der-mensa/loesung/
,Klausur im Falltraining,Anfänger,"§§ 223, 224, 303 StGB",Abgrenzung Dolus eventualis zu bewusster Fahrlässigkeit,http://strafrecht-online.org/falltraining/klausuren/sachverhalt-0/sachverhalt/,http://strafrecht-online.org/falltraining/klausuren/sachverhalt-0/loesung/
2017-10,Klausur im Falltraining,Anfänger,"§§ 212, 22, 23, 223 I, 224, 226, 211, 26 StGB",Verhältnis Mord - Totschlag; Anforderungen Habgier; Angriffe schuldlos Handelnder; Verhinderung der Vollendung beim Rücktritt,http://strafrecht-online.org/falltraining/klausuren/familienfrieden/sachverhalt/,http://strafrecht-online.org/falltraining/klausuren/familienfrieden/loesung/
2017-10,Klausur im Falltraining,Anfänger,"§§ 223, 224, 229, 303 I StGB",Sozialethische Einschränkungen der Notwehr; Angriffsprovokation; Bewusster Notwehrexzess; Aggressiv Notstand; Lebensgefährdende Behandlung i.S.d. § 224 I Nr. 5; Erlaubnistatumstandsirrtum,http://strafrecht-online.org/falltraining/klausuren/flamenco-party/sachverhalt/,http://strafrecht-online.org/falltraining/klausuren/flamenco-party/loesung/
2017-10,Klausur im Falltraining,Anfänger,"§§ 212, 211, 25 I Alt. 2, 26, 27 StGB",Auslegung der Heimtücke; Irrtum über die Werkzeugeigenschaft; Ansetzen zur mittelbaren Täterschaft; Hervorrufen des Tatentschlusses; Atypischer Kausalverlauf,http://strafrecht-online.org/falltraining/klausuren/letale-injektion/sachverhalt/,http://strafrecht-online.org/falltraining/klausuren/letale-injektion/loesung/
,Klausur im Falltraining,Anfänger,"§§ 212, 22, 23, 12 StGB",Fehlen des subj. Rechtfertigungselements; Gebotenheit der Notwehr,http://strafrecht-online.org/falltraining/klausuren/sachverhalt-8/sachverhalt/,http://strafrecht-online.org/falltraining/klausuren/sachverhalt-8/loesung/
2017-05,Klausur im Falltraining,Anfänger,"§§ 303, 22, 23, 12,  212, 223 StGB",Abberratio ictus; Rücktritt nach fehlgeschlagenem Einzelakt; Unbeendeter/beendeter Versuch; Freiwilligkeit des Rücktritts,http://strafrecht-online.org/falltraining/klausuren/sachverhalt-1/sachverhalt/,http://strafrecht-online.org/falltraining/klausuren/sachverhalt-1/loesung/
,Klausur im Falltraining,Anfänger,"§§ 212, 222, 303 StGB ",Erlaubnistatumstandsirrtum; Atypischer Kausalverlauf; Dolus eventualis,http://strafrecht-online.org/falltraining/klausuren/sachverhalt-5/sachverhalt/,http://strafrecht-online.org/falltraining/klausuren/sachverhalt-5/loesung/
2017-10,Klausur im Falltraining,Anfänger,"§§ 212, 22, 23, 13, 222, 223, 224, 323c, 303 StGB",Aberratio ictus; Nothilfe; Garantenstellung aus Ingerenz; Unglücksfall i.S.v. § 323c; Garantenstellung aus Näheverhältnis; Unechtes Unterlassungsdelikt; Anstiftung zum Verletzen eines eigenen Rechtsgutes,http://strafrecht-online.org/falltraining/klausuren/sport-ist-mord/sachverhalt/,http://strafrecht-online.org/falltraining/klausuren/sport-ist-mord/loesung/
,Klausur im Falltraining,Fortgeschrittene,"§§ 212, 211, 249, 250, 251, 22, 23, 227, 222, 240 StGB",Erfolgsqualifizierter Versuch; Erfordernis Vermögensverfügung; Finalzusammenhang i.S.v. § 249; Rücktritt vom Erfolgsqualifizierten Versuch,http://strafrecht-online.org/falltraining/klausuren/sachverhalt-10/sachverhalt/,http://strafrecht-online.org/falltraining/klausuren/sachverhalt-10/loesung/
